tract_geoid,month_start,y_incidents_12m,predicted_next_30d,risk_score,lag_1m_count,rolling_mean_3m,rolling_mean_12m,total_pop_acs,median_hh_income_acs
17031010100,2025-12-01,404.0,31.92697026463974,45.4,26.0,34.666666666666664,32.0,4284,68196
17031010201,2025-12-01,361.0,26.847413443882754,38.2,33.0,30.666666666666668,30.5,8210,61071
17031010202,2025-12-01,614.0,43.8869857541816,62.4,42.0,49.666666666666664,51.5,2865,58698
17031010300,2025-12-01,309.0,21.176266950125992,30.1,18.0,27.666666666666668,26.333333333333332,6237,68336
17031010400,2025-12-01,453.0,29.9812513833839,42.6,29.0,31.0,38.0,4473,48630
17031010501,2025-12-01,211.0,14.844722108923843,21.1,15.0,19.333333333333332,16.583333333333332,3913,47858
17031010502,2025-12-01,122.0,8.052922942277371,11.5,11.0,11.0,10.5,3407,55813
17031010503,2025-12-01,146.0,11.358982322626993,16.2,13.0,12.333333333333334,11.916666666666666,2417,18750
17031010600,2025-12-01,377.0,24.9149021134819,35.4,25.0,32.666666666666664,31.5,6379,66313
17031010701,2025-12-01,154.0,11.328638272151714,16.1,13.0,12.0,12.583333333333334,3590,70542
17031010702,2025-12-01,233.0,15.674112197964993,22.3,24.0,19.0,19.5,5148,52193
17031020100,2025-12-01,198.0,13.144685150585921,18.7,18.0,21.0,17.333333333333332,3927,57029
17031020200,2025-12-01,182.0,12.72525025051269,18.1,14.0,17.333333333333332,15.416666666666666,7203,117005
17031020301,2025-12-01,107.0,7.772421421615806,11.1,8.0,12.666666666666666,9.0,5432,73539
17031020302,2025-12-01,173.0,11.831346467725025,16.8,17.0,18.333333333333332,15.916666666666666,5201,84205
17031020400,2025-12-01,164.0,10.74775466809467,15.3,11.0,14.0,14.25,4256,76607
17031020500,2025-12-01,391.0,29.063166830090513,41.3,32.0,36.666666666666664,32.666666666666664,6646,43948
17031020601,2025-12-01,192.0,12.892680225225709,18.3,16.0,17.0,16.666666666666668,5868,61046
17031020602,2025-12-01,199.0,12.282828373933604,17.5,19.0,15.0,16.833333333333332,5343,83839
17031020701,2025-12-01,173.0,11.804841099859171,16.8,17.0,19.333333333333332,15.25,1728,92024
17031020702,2025-12-01,267.0,18.76846065034266,26.7,19.0,19.666666666666668,22.833333333333332,8412,68897
17031020801,2025-12-01,173.0,13.37177967938153,19.0,13.0,14.666666666666666,15.0,5990,71953
17031020802,2025-12-01,392.0,31.986337076791727,45.5,29.0,41.0,31.25,8715,62212
17031020901,2025-12-01,288.0,23.93952091006924,34.0,31.0,32.333333333333336,23.416666666666668,6179,50243
17031020902,2025-12-01,263.0,17.575432758066786,25.0,27.0,24.333333333333332,21.75,4365,49432
17031030101,2025-12-01,179.0,13.705485196678728,19.5,15.0,14.333333333333334,15.25,3517,50696
17031030102,2025-12-01,157.0,11.373521103745798,16.2,15.0,13.333333333333334,13.833333333333334,3052,55067
17031030103,2025-12-01,110.0,7.428005497448811,10.6,8.0,11.0,9.083333333333334,2297,53684
17031030104,2025-12-01,68.0,5.120048130667216,7.3,5.0,6.0,5.5,3106,45865
17031030200,2025-12-01,284.0,17.477434285700404,24.9,19.0,20.333333333333332,24.416666666666668,5554,91406
17031030300,2025-12-01,126.0,8.17232901303934,11.6,7.0,10.0,11.083333333333334,3642,64662
17031030400,2025-12-01,114.0,7.146779784021987,10.2,4.0,5.666666666666667,9.583333333333334,2822,97143
17031030500,2025-12-01,293.0,19.181308032860823,27.3,18.0,25.333333333333332,25.583333333333332,6344,109375
17031030601,2025-12-01,210.0,13.766731941497389,19.6,6.0,12.666666666666666,17.666666666666668,3771,51808
17031030603,2025-12-01,103.0,7.421335839013096,10.6,13.0,10.666666666666666,8.916666666666666,2305,54300
17031030604,2025-12-01,149.0,9.480008505934027,13.5,16.0,12.333333333333334,12.833333333333334,2921,49816
17031030701,2025-12-01,166.0,11.337464464497069,16.1,14.0,14.666666666666666,13.583333333333334,1509,47614
17031030702,2025-12-01,32.0,2.184175169589186,3.1,2.0,2.6666666666666665,2.75,2266,69050
17031030703,2025-12-01,193.0,13.532747562873073,19.2,9.0,11.0,16.25,3093,56667
17031030706,2025-12-01,165.0,10.764624034032147,15.3,12.0,14.333333333333334,15.416666666666666,2588,54143
17031030800,2025-12-01,327.0,19.956873616906694,28.4,25.0,28.0,27.333333333333332,4236,96069
17031030900,2025-12-01,277.0,16.9751651298063,24.1,9.0,21.0,23.25,3076,102309
17031031000,2025-12-01,176.0,10.651086335211055,15.1,8.0,11.333333333333334,14.5,3652,121026
17031031100,2025-12-01,249.0,18.38022831891617,26.1,17.0,19.666666666666668,20.5,4898,79010
17031031200,2025-12-01,510.0,38.094142948772195,54.2,39.0,44.666666666666664,42.833333333333336,5936,24389
17031031300,2025-12-01,341.0,23.73990901904965,33.8,28.0,26.333333333333332,27.833333333333332,6853,64598
17031031400,2025-12-01,562.0,33.51757515253638,47.7,37.0,49.0,47.5,4685,82526
17031031501,2025-12-01,196.0,12.829485426457893,18.2,14.0,21.666666666666668,16.583333333333332,4640,48889
17031031502,2025-12-01,230.0,16.28677068546643,23.2,14.0,16.666666666666668,19.75,4622,47188
17031031700,2025-12-01,336.0,21.543229689425722,30.6,19.0,32.0,28.916666666666668,6119,84766
17031031800,2025-12-01,75.0,5.457684867197272,7.8,2.0,4.0,6.166666666666667,2114,80873
17031031900,2025-12-01,111.0,7.461478740468411,10.6,9.0,9.666666666666666,9.833333333333334,2417,93864
17031032100,2025-12-01,503.0,40.743053547811265,57.9,53.0,44.666666666666664,41.083333333333336,7279,69313
17031040100,2025-12-01,196.0,14.981604634845091,21.3,21.0,23.0,16.333333333333332,4011,93576
17031040201,2025-12-01,308.0,20.46708707398483,29.1,13.0,19.333333333333332,25.75,6688,99624
17031040202,2025-12-01,329.0,23.904403638889438,34.0,16.0,26.333333333333332,27.25,7965,58293
17031040300,2025-12-01,114.0,7.236075000166418,10.3,4.0,7.333333333333333,9.333333333333334,3063,86979
